; loaded params from param_hr.json
; {"algorithm_type":2,"population_count":3500000,"start_infected":15,"collapse_threshold":2000000,"interaction_circle_count":25,"asymptomatic_ratio":0.5,"isolation_ratio":0.00008,"isolation_violators_ratio":0.45,"asymptomatic_days":7,"total_disease_days":18,"spread_prob_isolation":0.0002,"spread_prob_not_isolation":0.08,"spread_prob_asymptomatic_isolation":0.0003,"spread_prob_asymptomatic_not_isolation":0.04,"death_prob_normal":9e-7,"death_prob_collapse":0.001}
day, live_count, infected_count, dead_count, isolation_count, immune_count
   0,  3500000,       15,        0,        0,        0
   1,  3500000,       44,        0,        0,        0
   2,  3500000,      114,        0,        0,        0
   3,  3500000,      279,        0,        0,        0
   4,  3500000,      684,        0,        0,        0
   5,  3500000,     1691,        0,        0,        0
   6,  3500000,     3894,        0,        0,        0
   7,  3500000,     8709,        0,        0,        0
   8,  3500000,    19116,        0,        2,        0
   9,  3500000,    40827,        0,        3,        0
  10,  3499999,    84170,        1,        4,        0
  11,  3499999,   166520,        1,        6,        0
  12,  3499999,   307998,        1,       14,        0
  13,  3499999,   519590,        1,       28,        0
  14,  3499999,   788095,        1,       58,        0
  15,  3499998,  1074584,        2,      110,        0
  16,  3499996,  1329481,        4,      172,        0
  17,  3499995,  1522576,        5,      230,        0
  18,  3499994,  1649115,        6,      290,        0
  19,  3499993,  1722446,        7,      373,       24
  20,  3499992,  1761417,        8,      471,       80
  21,  3499992,  1782244,        8,      560,      181
  22,  3499991,  1793816,        9,      643,      434
  23,  3499989,  1800516,       11,      748,     1076
  24,  3499987,  1804123,       13,      850,     2513
  25,  3499985,  1804789,       15,      967,     5735
  26,  3499981,  1800758,       19,     1070,    12807
  27,  3499981,  1788306,       19,     1170,    27748
  28,  3499981,  1759869,       19,     1248,    58257
  29,  3499980,  1701979,       20,     1321,   117914
  30,  3499980,  1596341,       20,     1313,   225121
  31,  3499979,  1424837,       21,     1241,   398019
  32,  3499979,  1186768,       21,     1051,   637319
  33,  3499977,   906414,       23,      791,   918722
  34,  3499976,   631556,       24,      527,  1194574
  35,  3499975,   404481,       25,      318,  1422551
  36,  3499973,   242803,       27,      180,  1585028
  37,  3499973,   142829,       27,       77,  1685699
  38,  3499973,    87129,       27,       39,  1742023
  39,  3499973,    57776,       27,       20,  1771970
  40,  3499973,    41942,       27,       10,  1788281
  41,  3499973,    32914,       27,        7,  1797791
  42,  3499973,    27158,       27,        7,  1803998
  43,  3499973,    23058,       27,        6,  1808497
  44,  3499973,    19966,       27,        5,  1811977
  45,  3499973,    17447,       27,        5,  1814791
  46,  3499973,    15468,       27,        5,  1817052
  47,  3499973,    13784,       27,        5,  1818993
  48,  3499973,    12394,       27,        4,  1820592
  49,  3499973,    11122,       27,        4,  1822090
  50,  3499973,     9977,       27,        4,  1823415
  51,  3499973,     8997,       27,        3,  1824583
  52,  3499973,     8160,       27,        2,  1825601
  53,  3499973,     7369,       27,        2,  1826557
  54,  3499973,     6610,       27,        1,  1827429
  55,  3499973,     6007,       27,        1,  1828164
  56,  3499973,     5458,       27,        1,  1828819
  57,  3499973,     4955,       27,        1,  1829426
  58,  3499973,     4523,       27,        1,  1829959
  59,  3499973,     4114,       27,        1,  1830456
  60,  3499973,     3711,       27,        0,  1830927
  61,  3499973,     3360,       27,        0,  1831355
  62,  3499973,     3033,       27,        0,  1831732
  63,  3499973,     2755,       27,        0,  1832073
  64,  3499973,     2511,       27,        0,  1832367
  65,  3499973,     2303,       27,        0,  1832626
  66,  3499973,     2107,       27,        0,  1832869
  67,  3499973,     1933,       27,        0,  1833081
  68,  3499973,     1736,       27,        0,  1833306
  69,  3499973,     1604,       27,        0,  1833471
  70,  3499973,     1446,       27,        0,  1833664
  71,  3499973,     1303,       27,        0,  1833837
  72,  3499973,     1203,       27,        0,  1833977
  73,  3499973,     1102,       27,        0,  1834098
  74,  3499973,     1008,       27,        0,  1834216
  75,  3499973,      919,       27,        0,  1834326
  76,  3499973,      839,       27,        0,  1834420
  77,  3499973,      751,       27,        0,  1834520
  78,  3499973,      689,       27,        0,  1834603
  79,  3499973,      635,       27,        0,  1834670
  80,  3499973,      574,       27,        0,  1834743
  81,  3499973,      526,       27,        0,  1834799
  82,  3499973,      492,       27,        0,  1834848
  83,  3499973,      448,       27,        0,  1834902
  84,  3499973,      412,       27,        0,  1834950
  85,  3499973,      378,       27,        0,  1834993
  86,  3499973,      352,       27,        0,  1835028
  87,  3499973,      330,       27,        0,  1835058
  88,  3499973,      300,       27,        0,  1835095
  89,  3499973,      271,       27,        0,  1835130
  90,  3499973,      254,       27,        0,  1835153
  91,  3499973,      224,       27,        0,  1835191
  92,  3499973,      213,       27,        0,  1835207
  93,  3499973,      188,       27,        0,  1835237
  94,  3499973,      178,       27,        0,  1835252
  95,  3499973,      168,       27,        0,  1835266
  96,  3499973,      151,       27,        0,  1835284
  97,  3499973,      136,       27,        0,  1835301
  98,  3499973,      130,       27,        0,  1835310
  99,  3499973,      122,       27,        0,  1835320
 100,  3499973,      110,       27,        0,  1835332
 101,  3499973,       94,       27,        0,  1835348
 102,  3499973,       86,       27,        0,  1835356
 103,  3499973,       77,       27,        0,  1835365
 104,  3499973,       69,       27,        0,  1835374
 105,  3499973,       65,       27,        0,  1835383
 106,  3499973,       57,       27,        0,  1835392
 107,  3499973,       52,       27,        0,  1835398
 108,  3499973,       46,       27,        0,  1835404
 109,  3499973,       36,       27,        0,  1835414
 110,  3499973,       34,       27,        0,  1835416
 111,  3499973,       26,       27,        0,  1835425
 112,  3499973,       23,       27,        0,  1835428
 113,  3499973,       18,       27,        0,  1835433
 114,  3499973,       17,       27,        0,  1835435
 115,  3499973,       16,       27,        0,  1835436
 116,  3499973,       12,       27,        0,  1835440
 117,  3499973,       13,       27,        0,  1835441
 118,  3499973,       12,       27,        0,  1835442
 119,  3499973,       12,       27,        0,  1835442
 120,  3499973,       13,       27,        0,  1835442
 121,  3499973,       14,       27,        0,  1835442
 122,  3499973,       14,       27,        0,  1835442
 123,  3499973,       13,       27,        0,  1835444
 124,  3499973,        8,       27,        0,  1835449
 125,  3499973,        8,       27,        0,  1835449
 126,  3499973,        7,       27,        0,  1835450
 127,  3499973,        7,       27,        0,  1835450
 128,  3499973,        7,       27,        0,  1835450
 129,  3499973,        7,       27,        0,  1835450
 130,  3499973,        7,       27,        0,  1835451
 131,  3499973,        7,       27,        0,  1835451
 132,  3499973,        7,       27,        0,  1835451
 133,  3499973,        6,       27,        0,  1835452
 134,  3499973,        6,       27,        0,  1835452
 135,  3499973,        4,       27,        0,  1835454
 136,  3499973,        4,       27,        0,  1835454
 137,  3499973,        4,       27,        0,  1835454
 138,  3499973,        3,       27,        0,  1835455
 139,  3499973,        3,       27,        0,  1835455
 140,  3499973,        2,       27,        0,  1835456
 141,  3499973,        1,       27,        0,  1835457
 142,  3499973,        1,       27,        0,  1835457
 143,  3499973,        1,       27,        0,  1835457
 144,  3499973,        1,       27,        0,  1835457
 145,  3499973,        1,       27,        0,  1835457
 146,  3499973,        1,       27,        0,  1835457
 147,  3499973,        1,       27,        0,  1835457
 148,  3499973,        0,       27,        0,  1835458
